Chip Run Filename,C:\Documents and Settings\Administrator\Desktop\Melov Real Time PCR Runs\DonnaRealTime Project_Plate1\ChipRun.bml
Application Version,2.0.2
Application Build,20080502.1530
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S04-A40,24hrs A4,Unknown,1,Fxn,Test,18.4794554820063,0.94,Pass,0.0208283161042978
S04-A41,24hrs A4,Unknown,1,Aco2,Test,16.5748154338384,0.96,Pass,0.0206074612287017
S04-A42,24hrs A4,Unknown,1,H2afz (house keeping),Test,19.1613289532425,0.92,Pass,0.00632670523166442
S04-A43,24hrs A4,Unknown,1,Slc11a2,Test,20.5121849688521,0.95,Pass,0.00590284917332172
S04-A44,24hrs A4,Unknown,1,Th,Test,19.4363690660612,0.93,Pass,0.00763526729220294
S04-A45,24hrs A4,Unknown,1,Trfr2,Test,29.3664722557629,0.94,Pass,0.0155279526230004
S04-A46,24hrs A4,Unknown,1,Mt2,Test,12.666578927141,0.97,Pass,0.0198420617612677
S04-A47,24hrs A4,Unknown,1,LCT,Test,999,0,Fail,0.0162807939869354
S04-A48,24hrs A4,Unknown,1,RPL22 (house keeping),Test,14.2324402985761,0.94,Pass,0.00902334899870637
S42-A01,24hrs C1,Unknown,1,Ftmt,Test,22.3494864917478,0.99,Pass,0.0170975760029845
S42-A02,24hrs C1,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S42-A03,24hrs C1,Unknown,1,Epo,Test,999,0,Fail,0.1
S42-A04,24hrs C1,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S42-A05,24hrs C1,Unknown,1,Slc40a1,Test,20.8479613418848,0.9,Pass,0.00665758110254866
S42-A06,24hrs C1,Unknown,1,Ppara,Test,23.5963231899602,0.97,Pass,0.0143613838140424
S42-A07,24hrs C1,Unknown,1,Vegfa,Test,34.4990343947404,0.87,Pass,0.0130632654833801
S42-A08,24hrs C1,Unknown,1,Ep300,Test,17.2042654580835,0.93,Pass,0.00592725233700934
S42-A09,24hrs C1,Unknown,1,Ftl1,Test,18.2232369402746,0.54,Fail,0.00605555306988149
S42-A10,24hrs C1,Unknown,1,Ppargc1a,Test,14.2876692120821,0.96,Pass,0.0103153062665152
S42-A11,24hrs C1,Unknown,1,Epas1,Test,15.0531050990338,0.98,Pass,0.00845488203106051
S42-A12,24hrs C1,Unknown,1,Ogdh,Test,15.4767704575693,0.94,Pass,0.0154003440700253
S42-A13,24hrs C1,Unknown,1,GPX1,Test,999,0,Fail,0.1
S42-A14,24hrs C1,Unknown,1,Ucp2,Test,20.7207253600889,0.93,Pass,0.00634618516443952
S42-A15,24hrs C1,Unknown,1,Ngb,Test,22.9142040443785,0.94,Pass,0.0132358407753192
S42-A16,24hrs C1,Unknown,1,Egln3,Test,19.5622321840249,0.96,Pass,0.0149010143493106
S42-A17,24hrs C1,Unknown,1,Bnip3I,Test,15.5107442662332,0.98,Pass,0.0214933930805613
S42-A18,24hrs C1,Unknown,1,Hif1a,Test,16.6973533623302,0.99,Pass,0.0274163579922502
S42-A19,24hrs C1,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S42-A20,24hrs C1,Unknown,1,SDHb,Test,14.9035586720908,0.97,Pass,0.0188587803835945
S42-A21,24hrs C1,Unknown,1,Mt3,Test,12.322441526533,0.8,Pass,0.0228345411869442
S42-A22,24hrs C1,Unknown,1,Cat,Test,999,0,Fail,0.00201192985235196
S42-A23,24hrs C1,Unknown,1,Egln2,Test,18.7189172765908,0.95,Pass,0.00689486129308747
S42-A24,24hrs C1,Unknown,1,Egln1,Test,16.6766498526827,0.82,Pass,0.0097987151773852
S42-A25,24hrs C1,Unknown,1,Nfe212,Test,24.5792315291053,0.94,Pass,0.0128811432565052
S42-A26,24hrs C1,Unknown,1,Nos2,Test,23.5453302005161,0.94,Pass,0.0150035719669409
S42-A27,24hrs C1,Unknown,1,Hif3a,Test,22.8186024210275,0.92,Pass,0.0155135707898053
S42-A28,24hrs C1,Unknown,1,Bnip3,Test,15.3176709491379,0.96,Pass,0.0239177378873408
S42-A29,24hrs C1,Unknown,1,Cp,Test,999,0,Fail,0.1
S42-A30,24hrs C1,Unknown,1,Dppa5a,Test,24.8991648965345,0.88,Pass,0.0109474022309234
S42-A31,24hrs C1,Unknown,1,Sod2,Test,15.3108678697424,0.95,Pass,0.0193117342570188
S42-A32,24hrs C1,Unknown,1,Mt1,Test,18.0264660735452,0.93,Pass,0.0150165747366286
S42-A33,24hrs C1,Unknown,1,PDK1,Test,22.4627859978849,0.98,Pass,0.0831058699701507
S42-A34,24hrs C1,Unknown,1,Car2,Test,14.5201105212651,0.86,Pass,0.0121965143027594
S42-A35,24hrs C1,Unknown,1,Trp53,Test,20.0223303095273,0.95,Pass,0.0194839829779027
S42-A36,24hrs C1,Unknown,1,PDHx,Test,17.0141964851417,0.95,Pass,0.0126570262457584
S42-A37,24hrs C1,Unknown,1,Hmox1,Test,23.388977858123,0.95,Pass,0.0087765704303593
S42-A38,24hrs C1,Unknown,1,Bach1,Test,28.5440905836319,0.84,Pass,0.00898588417366158
S42-A39,24hrs C1,Unknown,1,Fth1,Test,9.09954026934412,0.96,Pass,0.0146163250752354
S42-A40,24hrs C1,Unknown,1,Fxn,Test,18.4109239833678,0.95,Pass,0.0208283161042978
S42-A41,24hrs C1,Unknown,1,Aco2,Test,16.2968405995943,0.98,Pass,0.0206074612287017
S42-A42,24hrs C1,Unknown,1,H2afz (house keeping),Test,18.4977353477695,0.93,Pass,0.00632670523166442
S42-A43,24hrs C1,Unknown,1,Slc11a2,Test,20.3960141881146,0.95,Pass,0.00590284917332172
S42-A44,24hrs C1,Unknown,1,Th,Test,23.8480632712447,0.95,Pass,0.00763526729220294
S42-A45,24hrs C1,Unknown,1,Trfr2,Test,26.7232214043927,0.97,Pass,0.0155279526230004
S42-A46,24hrs C1,Unknown,1,Mt2,Test,12.7500684903614,0.98,Pass,0.0198420617612677
S42-A47,24hrs C1,Unknown,1,LCT,Test,27.0589662145215,0.95,Pass,0.0162807939869354
S42-A48,24hrs C1,Unknown,1,RPL22 (house keeping),Test,13.9989947951401,0.91,Pass,0.00902334899870637
S09-A01,8 Days D4,Unknown,1,Ftmt,Test,22.87213785086,0.99,Pass,0.0170975760029845
S09-A02,8 Days D4,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S09-A03,8 Days D4,Unknown,1,Epo,Test,999,0,Fail,0.1
S09-A04,8 Days D4,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S09-A05,8 Days D4,Unknown,1,Slc40a1,Test,22.2190576956906,0.9,Pass,0.00665758110254866
S09-A06,8 Days D4,Unknown,1,Ppara,Test,24.4958826443326,0.97,Pass,0.0143613838140424
S09-A07,8 Days D4,Unknown,1,Vegfa,Test,36.7758650029297,0.91,Pass,0.0130632654833801
S09-A08,8 Days D4,Unknown,1,Ep300,Test,17.7554732146336,0.95,Pass,0.00592725233700934
S09-A09,8 Days D4,Unknown,1,Ftl1,Test,18.2405587713022,0.73,Pass,0.00605555306988149
S09-A10,8 Days D4,Unknown,1,Ppargc1a,Test,15.6213767720248,0.94,Pass,0.0103153062665152
S09-A11,8 Days D4,Unknown,1,Epas1,Test,15.78750924187,0.97,Pass,0.00845488203106051
S09-A12,8 Days D4,Unknown,1,Ogdh,Test,16.2282013790722,0.96,Pass,0.0154003440700253
S09-A13,8 Days D4,Unknown,1,GPX1,Test,999,0,Fail,0.1
S09-A14,8 Days D4,Unknown,1,Ucp2,Test,20.615273564815,0.94,Pass,0.00634618516443952
S09-A15,8 Days D4,Unknown,1,Ngb,Test,22.7475315888704,0.96,Pass,0.0132358407753192
S09-A16,8 Days D4,Unknown,1,Egln3,Test,19.3403831559275,0.96,Pass,0.0149010143493106
S09-A17,8 Days D4,Unknown,1,Bnip3I,Test,16.5683271342144,0.97,Pass,0.0214933930805613
S09-A18,8 Days D4,Unknown,1,Hif1a,Test,17.4203660538018,0.99,Pass,0.0274163579922502
S09-A19,8 Days D4,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S09-A20,8 Days D4,Unknown,1,SDHb,Test,15.172977604709,0.98,Pass,0.0188587803835945
S09-A21,8 Days D4,Unknown,1,Mt3,Test,12.8854883937846,0.8,Pass,0.0228345411869442
S09-A22,8 Days D4,Unknown,1,Cat,Test,6.70777934452281,0.08,Fail,0.00201192985235196
S09-A23,8 Days D4,Unknown,1,Egln2,Test,19.5603100684659,0.94,Pass,0.00689486129308747
S09-A24,8 Days D4,Unknown,1,Egln1,Test,16.7208992015511,0.91,Pass,0.0097987151773852
S09-A25,8 Days D4,Unknown,1,Nfe212,Test,25.1439748828488,0.94,Pass,0.0128811432565052
S09-A26,8 Days D4,Unknown,1,Nos2,Test,26.8868276147592,0.98,Pass,0.0150035719669409
S09-A27,8 Days D4,Unknown,1,Hif3a,Test,23.9336805332088,0.95,Pass,0.0155135707898053
S09-A28,8 Days D4,Unknown,1,Bnip3,Test,16.1582959001236,0.96,Pass,0.0239177378873408
S09-A29,8 Days D4,Unknown,1,Cp,Test,999,0,Fail,0.1
S09-A30,8 Days D4,Unknown,1,Dppa5a,Test,24.7661173170267,0.88,Pass,0.0109474022309234
S09-A31,8 Days D4,Unknown,1,Sod2,Test,16.0549228919984,0.95,Pass,0.0193117342570188
S09-A32,8 Days D4,Unknown,1,Mt1,Test,18.0526949179677,0.96,Pass,0.0150165747366286
S09-A33,8 Days D4,Unknown,1,PDK1,Test,22.975111355,0.98,Pass,0.0831058699701507
S09-A34,8 Days D4,Unknown,1,Car2,Test,15.1763851135583,0.87,Pass,0.0121965143027594
S09-A35,8 Days D4,Unknown,1,Trp53,Test,20.8335119589999,0.94,Pass,0.0194839829779027
S09-A36,8 Days D4,Unknown,1,PDHx,Test,17.8982480781151,0.89,Pass,0.0126570262457584
S09-A37,8 Days D4,Unknown,1,Hmox1,Test,23.0430665676968,0.95,Pass,0.0087765704303593
S09-A38,8 Days D4,Unknown,1,Bach1,Test,28.4086248893629,0.82,Pass,0.00898588417366158
S09-A39,8 Days D4,Unknown,1,Fth1,Test,9.89437910059414,0.97,Pass,0.0146163250752354
S09-A40,8 Days D4,Unknown,1,Fxn,Test,18.8574717422701,0.97,Pass,0.0208283161042978
S09-A41,8 Days D4,Unknown,1,Aco2,Test,17.1322757889324,0.98,Pass,0.0206074612287017
S09-A42,8 Days D4,Unknown,1,H2afz (house keeping),Test,18.3529495235635,0.95,Pass,0.00632670523166442
S09-A43,8 Days D4,Unknown,1,Slc11a2,Test,20.7777698371278,0.95,Pass,0.00590284917332172
S09-A44,8 Days D4,Unknown,1,Th,Test,21.2597002814883,0.93,Pass,0.00763526729220294
S09-A45,8 Days D4,Unknown,1,Trfr2,Test,25.4123667794393,0.98,Pass,0.0155279526230004
S09-A46,8 Days D4,Unknown,1,Mt2,Test,13.4777382444608,0.96,Pass,0.0198420617612677
S09-A47,8 Days D4,Unknown,1,LCT,Test,26.6328419779242,0.95,Pass,0.0162807939869354
S09-A48,8 Days D4,Unknown,1,RPL22 (house keeping),Test,14.6615454307186,0.94,Pass,0.00902334899870637
S41-A01,24hrs C1,Unknown,1,Ftmt,Test,22.4455547366974,0.99,Pass,0.0170975760029845
S41-A02,24hrs C1,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S41-A03,24hrs C1,Unknown,1,Epo,Test,999,0,Fail,0.1
S41-A04,24hrs C1,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S41-A05,24hrs C1,Unknown,1,Slc40a1,Test,21.3240126284453,0.92,Pass,0.00665758110254866
S41-A06,24hrs C1,Unknown,1,Ppara,Test,23.2692416284316,0.97,Pass,0.0143613838140424
S41-A07,24hrs C1,Unknown,1,Vegfa,Test,34.6428676561873,0.92,Pass,0.0130632654833801
S41-A08,24hrs C1,Unknown,1,Ep300,Test,17.1256860282352,0.95,Pass,0.00592725233700934
S41-A09,24hrs C1,Unknown,1,Ftl1,Test,18.5034629185282,0.55,Fail,0.00605555306988149
S41-A10,24hrs C1,Unknown,1,Ppargc1a,Test,14.4266416083324,0.96,Pass,0.0103153062665152
S41-A11,24hrs C1,Unknown,1,Epas1,Test,15.2639028134641,0.97,Pass,0.00845488203106051
S41-A12,24hrs C1,Unknown,1,Ogdh,Test,15.5046610703215,0.95,Pass,0.0154003440700253
S41-A13,24hrs C1,Unknown,1,GPX1,Test,999,0,Fail,0.1
S41-A14,24hrs C1,Unknown,1,Ucp2,Test,21.1287807753705,0.94,Pass,0.00634618516443952
S41-A15,24hrs C1,Unknown,1,Ngb,Test,24.0035366198763,0.93,Pass,0.0132358407753192
S41-A16,24hrs C1,Unknown,1,Egln3,Test,19.3463988707056,0.95,Pass,0.0149010143493106
S41-A17,24hrs C1,Unknown,1,Bnip3I,Test,15.5079198928777,0.94,Pass,0.0214933930805613
S41-A18,24hrs C1,Unknown,1,Hif1a,Test,16.8308822439231,0.99,Pass,0.0274163579922502
S41-A19,24hrs C1,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S41-A20,24hrs C1,Unknown,1,SDHb,Test,14.9216562223195,0.97,Pass,0.0188587803835945
S41-A21,24hrs C1,Unknown,1,Mt3,Test,12.4342355627587,0.77,Pass,0.0228345411869442
S41-A22,24hrs C1,Unknown,1,Cat,Test,999,0,Fail,0.00201192985235196
S41-A23,24hrs C1,Unknown,1,Egln2,Test,18.9213681574228,0.92,Pass,0.00689486129308747
S41-A24,24hrs C1,Unknown,1,Egln1,Test,16.6651582538446,0.93,Pass,0.0097987151773852
S41-A25,24hrs C1,Unknown,1,Nfe212,Test,24.701333480564,0.94,Pass,0.0128811432565052
S41-A26,24hrs C1,Unknown,1,Nos2,Test,24.5510159541159,0.96,Pass,0.0150035719669409
S41-A27,24hrs C1,Unknown,1,Hif3a,Test,23.0730041113951,0.93,Pass,0.0155135707898053
S41-A28,24hrs C1,Unknown,1,Bnip3,Test,15.365815038553,0.98,Pass,0.0239177378873408
S41-A29,24hrs C1,Unknown,1,Cp,Test,999,0,Fail,0.1
S41-A30,24hrs C1,Unknown,1,Dppa5a,Test,24.9930563861822,0.88,Pass,0.0109474022309234
S41-A31,24hrs C1,Unknown,1,Sod2,Test,15.3687351343756,0.95,Pass,0.0193117342570188
S41-A32,24hrs C1,Unknown,1,Mt1,Test,17.9027409971935,0.94,Pass,0.0150165747366286
S41-A33,24hrs C1,Unknown,1,PDK1,Test,22.7283812439813,0.98,Pass,0.0831058699701507
S41-A34,24hrs C1,Unknown,1,Car2,Test,14.4919485174204,0.83,Pass,0.0121965143027594
S41-A35,24hrs C1,Unknown,1,Trp53,Test,20.1251324715652,0.96,Pass,0.0194839829779027
S41-A36,24hrs C1,Unknown,1,PDHx,Test,16.9941817529988,0.94,Pass,0.0126570262457584
S41-A37,24hrs C1,Unknown,1,Hmox1,Test,22.9176946642713,0.95,Pass,0.0087765704303593
S41-A38,24hrs C1,Unknown,1,Bach1,Test,28.4039497655381,0.83,Pass,0.00898588417366158
S41-A39,24hrs C1,Unknown,1,Fth1,Test,9.02932993647605,0.96,Pass,0.0146163250752354
S41-A40,24hrs C1,Unknown,1,Fxn,Test,18.5285880231474,0.96,Pass,0.0208283161042978
S41-A41,24hrs C1,Unknown,1,Aco2,Test,16.2524371518195,0.97,Pass,0.0206074612287017
S41-A42,24hrs C1,Unknown,1,H2afz (house keeping),Test,18.4451218298601,0.93,Pass,0.00632670523166442
S41-A43,24hrs C1,Unknown,1,Slc11a2,Test,20.7467986825794,0.94,Pass,0.00590284917332172
S41-A44,24hrs C1,Unknown,1,Th,Test,23.9090587086495,0.92,Pass,0.00763526729220294
S41-A45,24hrs C1,Unknown,1,Trfr2,Test,26.4696126893339,0.97,Pass,0.0155279526230004
S41-A46,24hrs C1,Unknown,1,Mt2,Test,12.8143454365514,0.98,Pass,0.0198420617612677
S41-A47,24hrs C1,Unknown,1,LCT,Test,27.7958350471006,0.92,Pass,0.0162807939869354
S41-A48,24hrs C1,Unknown,1,RPL22 (house keeping),Test,13.9540073521386,0.9,Pass,0.00902334899870637
S08-A01,8 Days D4,Unknown,1,Ftmt,Test,22.8728457527426,0.99,Pass,0.0170975760029845
S08-A02,8 Days D4,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S08-A03,8 Days D4,Unknown,1,Epo,Test,999,0,Fail,0.1
S08-A04,8 Days D4,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S08-A05,8 Days D4,Unknown,1,Slc40a1,Test,21.7555853987658,0.93,Pass,0.00665758110254866
S08-A06,8 Days D4,Unknown,1,Ppara,Test,24.2969820398503,0.98,Pass,0.0143613838140424
S08-A07,8 Days D4,Unknown,1,Vegfa,Test,35.3197088331557,0.73,Pass,0.0130632654833801
S08-A08,8 Days D4,Unknown,1,Ep300,Test,17.8238937078159,0.94,Pass,0.00592725233700934
S08-A09,8 Days D4,Unknown,1,Ftl1,Test,18.0022895842808,0.49,Fail,0.00605555306988149
S08-A10,8 Days D4,Unknown,1,Ppargc1a,Test,15.6787173144337,0.96,Pass,0.0103153062665152
S08-A11,8 Days D4,Unknown,1,Epas1,Test,15.635312444906,0.91,Pass,0.00845488203106051
S08-A12,8 Days D4,Unknown,1,Ogdh,Test,16.2797973734706,0.96,Pass,0.0154003440700253
S08-A13,8 Days D4,Unknown,1,GPX1,Test,999,0,Fail,0.1
S08-A14,8 Days D4,Unknown,1,Ucp2,Test,20.3686601125509,0.95,Pass,0.00634618516443952
S08-A15,8 Days D4,Unknown,1,Ngb,Test,22.5166881461742,0.96,Pass,0.0132358407753192
S08-A16,8 Days D4,Unknown,1,Egln3,Test,19.3616960024986,0.96,Pass,0.0149010143493106
S08-A17,8 Days D4,Unknown,1,Bnip3I,Test,16.4184408402696,0.93,Pass,0.0214933930805613
S08-A18,8 Days D4,Unknown,1,Hif1a,Test,17.2121739325916,0.99,Pass,0.0274163579922502
S08-A19,8 Days D4,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S08-A20,8 Days D4,Unknown,1,SDHb,Test,15.2413343398311,0.94,Pass,0.0188587803835945
S08-A21,8 Days D4,Unknown,1,Mt3,Test,12.642093637837,0.8,Pass,0.0228345411869442
S08-A22,8 Days D4,Unknown,1,Cat,Test,6.70774436606275,0.15,Fail,0.00201192985235196
S08-A23,8 Days D4,Unknown,1,Egln2,Test,19.1828694461857,0.94,Pass,0.00689486129308747
S08-A24,8 Days D4,Unknown,1,Egln1,Test,16.6773757401592,0.87,Pass,0.0097987151773852
S08-A25,8 Days D4,Unknown,1,Nfe212,Test,24.6282984492264,0.95,Pass,0.0128811432565052
S08-A26,8 Days D4,Unknown,1,Nos2,Test,24.6906540848042,0.96,Pass,0.0150035719669409
S08-A27,8 Days D4,Unknown,1,Hif3a,Test,23.7270207299241,0.95,Pass,0.0155135707898053
S08-A28,8 Days D4,Unknown,1,Bnip3,Test,16.0333886407013,0.98,Pass,0.0239177378873408
S08-A29,8 Days D4,Unknown,1,Cp,Test,999,0,Fail,0.1
S08-A30,8 Days D4,Unknown,1,Dppa5a,Test,23.3271729519852,0.88,Pass,0.0109474022309234
S08-A31,8 Days D4,Unknown,1,Sod2,Test,15.8403663355706,0.96,Pass,0.0193117342570188
S08-A32,8 Days D4,Unknown,1,Mt1,Test,17.9643681435393,0.95,Pass,0.0150165747366286
S08-A33,8 Days D4,Unknown,1,PDK1,Test,22.7277792546706,0.98,Pass,0.0831058699701507
S08-A34,8 Days D4,Unknown,1,Car2,Test,14.9956195616014,0.86,Pass,0.0121965143027594
S08-A35,8 Days D4,Unknown,1,Trp53,Test,20.7466943766063,0.97,Pass,0.0194839829779027
S08-A36,8 Days D4,Unknown,1,PDHx,Test,17.9140900540765,0.95,Pass,0.0126570262457584
S08-A37,8 Days D4,Unknown,1,Hmox1,Test,22.9213993633059,0.95,Pass,0.0087765704303593
S08-A38,8 Days D4,Unknown,1,Bach1,Test,28.3297418784422,0.78,Pass,0.00898588417366158
S08-A39,8 Days D4,Unknown,1,Fth1,Test,9.83932814073741,0.97,Pass,0.0146163250752354
S08-A40,8 Days D4,Unknown,1,Fxn,Test,18.7125898045094,0.95,Pass,0.0208283161042978
S08-A41,8 Days D4,Unknown,1,Aco2,Test,17.0356763255631,0.97,Pass,0.0206074612287017
S08-A42,8 Days D4,Unknown,1,H2afz (house keeping),Test,18.008593537495,0.93,Pass,0.00632670523166442
S08-A43,8 Days D4,Unknown,1,Slc11a2,Test,20.6154710512853,0.96,Pass,0.00590284917332172
S08-A44,8 Days D4,Unknown,1,Th,Test,20.809297964578,0.95,Pass,0.00763526729220294
S08-A45,8 Days D4,Unknown,1,Trfr2,Test,25.30072355616,0.97,Pass,0.0155279526230004
S08-A46,8 Days D4,Unknown,1,Mt2,Test,13.41311682304,0.97,Pass,0.0198420617612677
S08-A47,8 Days D4,Unknown,1,LCT,Test,24.0744978463012,0.97,Pass,0.0162807939869354
S08-A48,8 Days D4,Unknown,1,RPL22 (house keeping),Test,14.4773536405835,0.95,Pass,0.00902334899870637
S40-A01,24hrs C1,Unknown,1,Ftmt,Test,22.5673640469969,0.99,Pass,0.0170975760029845
S40-A02,24hrs C1,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S40-A03,24hrs C1,Unknown,1,Epo,Test,999,0,Fail,0.1
S40-A04,24hrs C1,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S40-A05,24hrs C1,Unknown,1,Slc40a1,Test,21.45968268815,0.92,Pass,0.00665758110254866
S40-A06,24hrs C1,Unknown,1,Ppara,Test,24.0887554950896,0.97,Pass,0.0143613838140424
S40-A07,24hrs C1,Unknown,1,Vegfa,Test,33.9924009428988,0.89,Pass,0.0130632654833801
S40-A08,24hrs C1,Unknown,1,Ep300,Test,17.3990257934511,0.93,Pass,0.00592725233700934
S40-A09,24hrs C1,Unknown,1,Ftl1,Test,17.782740840942,0.62,Fail,0.00605555306988149
S40-A10,24hrs C1,Unknown,1,Ppargc1a,Test,14.3204224857062,0.93,Pass,0.0103153062665152
S40-A11,24hrs C1,Unknown,1,Epas1,Test,15.0841658295926,0.96,Pass,0.00845488203106051
S40-A12,24hrs C1,Unknown,1,Ogdh,Test,15.4374215446112,0.96,Pass,0.0154003440700253
S40-A13,24hrs C1,Unknown,1,GPX1,Test,999,0,Fail,0.1
S40-A14,24hrs C1,Unknown,1,Ucp2,Test,20.6877143433781,0.94,Pass,0.00634618516443952
S40-A15,24hrs C1,Unknown,1,Ngb,Test,22.9794745924793,0.94,Pass,0.0132358407753192
S40-A16,24hrs C1,Unknown,1,Egln3,Test,19.2096523129096,0.95,Pass,0.0149010143493106
S40-A17,24hrs C1,Unknown,1,Bnip3I,Test,15.4512196871723,0.94,Pass,0.0214933930805613
S40-A18,24hrs C1,Unknown,1,Hif1a,Test,16.6385150465387,0.99,Pass,0.0274163579922502
S40-A19,24hrs C1,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S40-A20,24hrs C1,Unknown,1,SDHb,Test,14.7996434357589,0.97,Pass,0.0188587803835945
S40-A21,24hrs C1,Unknown,1,Mt3,Test,12.120028890296,0.79,Pass,0.0228345411869442
S40-A22,24hrs C1,Unknown,1,Cat,Test,999,0,Fail,0.00201192985235196
S40-A23,24hrs C1,Unknown,1,Egln2,Test,18.8103402962255,0.93,Pass,0.00689486129308747
S40-A24,24hrs C1,Unknown,1,Egln1,Test,16.6428804798074,0.92,Pass,0.0097987151773852
S40-A25,24hrs C1,Unknown,1,Nfe212,Test,24.3473416099852,0.95,Pass,0.0128811432565052
S40-A26,24hrs C1,Unknown,1,Nos2,Test,23.2923995197401,0.94,Pass,0.0150035719669409
S40-A27,24hrs C1,Unknown,1,Hif3a,Test,22.4292838582952,0.92,Pass,0.0155135707898053
S40-A28,24hrs C1,Unknown,1,Bnip3,Test,15.2368009283054,0.97,Pass,0.0239177378873408
S40-A29,24hrs C1,Unknown,1,Cp,Test,999,0,Fail,0.1
S40-A30,24hrs C1,Unknown,1,Dppa5a,Test,23.8865146728099,0.88,Pass,0.0109474022309234
S40-A31,24hrs C1,Unknown,1,Sod2,Test,15.1511884551425,0.95,Pass,0.0193117342570188
S40-A32,24hrs C1,Unknown,1,Mt1,Test,17.8714907786805,0.96,Pass,0.0150165747366286
S40-A33,24hrs C1,Unknown,1,PDK1,Test,22.3469174709011,0.98,Pass,0.0831058699701507
S40-A34,24hrs C1,Unknown,1,Car2,Test,14.4214745335416,0.84,Pass,0.0121965143027594
S40-A35,24hrs C1,Unknown,1,Trp53,Test,19.8884403278759,0.96,Pass,0.0194839829779027
S40-A36,24hrs C1,Unknown,1,PDHx,Test,16.9828842472554,0.95,Pass,0.0126570262457584
S40-A37,24hrs C1,Unknown,1,Hmox1,Test,22.9998072106053,0.91,Pass,0.0087765704303593
S40-A38,24hrs C1,Unknown,1,Bach1,Test,28.1862108760539,0.8,Pass,0.00898588417366158
S40-A39,24hrs C1,Unknown,1,Fth1,Test,8.99042980673036,0.98,Pass,0.0146163250752354
S40-A40,24hrs C1,Unknown,1,Fxn,Test,18.5551391157712,0.94,Pass,0.0208283161042978
S40-A41,24hrs C1,Unknown,1,Aco2,Test,16.2419966445368,0.98,Pass,0.0206074612287017
S40-A42,24hrs C1,Unknown,1,H2afz (house keeping),Test,18.2524188156977,0.93,Pass,0.00632670523166442
S40-A43,24hrs C1,Unknown,1,Slc11a2,Test,20.4914477369587,0.91,Pass,0.00590284917332172
S40-A44,24hrs C1,Unknown,1,Th,Test,23.514276634447,0.94,Pass,0.00763526729220294
S40-A45,24hrs C1,Unknown,1,Trfr2,Test,24.7534598631855,0.98,Pass,0.0155279526230004
S40-A46,24hrs C1,Unknown,1,Mt2,Test,12.7090634955178,0.96,Pass,0.0198420617612677
S40-A47,24hrs C1,Unknown,1,LCT,Test,27.547004668546,0.95,Pass,0.0162807939869354
S40-A48,24hrs C1,Unknown,1,RPL22 (house keeping),Test,13.8584427111099,0.94,Pass,0.00902334899870637
S07-A01,8 Days D4,Unknown,1,Ftmt,Test,22.6494895816787,0.99,Pass,0.0170975760029845
S07-A02,8 Days D4,Unknown,1,HK1,Test,999,0,Fail,0.00522591086698019
S07-A03,8 Days D4,Unknown,1,Epo,Test,999,0,Fail,0.1
S07-A04,8 Days D4,Unknown,1,Hamp,Test,999,0,Fail,0.0307597811147576
S07-A05,8 Days D4,Unknown,1,Slc40a1,Test,21.5087960350718,0.94,Pass,0.00665758110254866
S07-A06,8 Days D4,Unknown,1,Ppara,Test,24.2591268096978,0.96,Pass,0.0143613838140424
S07-A07,8 Days D4,Unknown,1,Vegfa,Test,34.849417704356,0.82,Pass,0.0130632654833801
S07-A08,8 Days D4,Unknown,1,Ep300,Test,17.8038852802907,0.87,Pass,0.00592725233700934
S07-A09,8 Days D4,Unknown,1,Ftl1,Test,17.8082203231481,0.72,Pass,0.00605555306988149
S07-A10,8 Days D4,Unknown,1,Ppargc1a,Test,15.533344220346,0.93,Pass,0.0103153062665152
S07-A11,8 Days D4,Unknown,1,Epas1,Test,15.6902947889388,0.98,Pass,0.00845488203106051
S07-A12,8 Days D4,Unknown,1,Ogdh,Test,16.2239089476132,0.96,Pass,0.0154003440700253
S07-A13,8 Days D4,Unknown,1,GPX1,Test,999,0,Fail,0.1
S07-A14,8 Days D4,Unknown,1,Ucp2,Test,20.4973225975928,0.84,Pass,0.00634618516443952
