Well, Type, Sample, Gene, Ct, Quantity, Exclusion
1117, UNKN, 3 Days A1, Hif3a, 22.83, , 
1118, UNKN, 3 Days A1, Hif3a, 23.52, , 
1119, UNKN, 3 Days A1, Hif3a, 23.00, , 
1120, UNKN, 24hrs B2, Hif3a, 22.20, , 
1121, UNKN, 24hrs B2, Hif3a, 22.68, , 
1122, UNKN, 24hrs B2, Hif3a, 23.21, , 
1123, UNKN, 6hrs D2, Hif3a, 19.44, , 
1124, UNKN, 6hrs D2, Hif3a, 19.52, , 
1125, UNKN, 6hrs D2, Hif3a, 19.24, , 
1126, UNKN, Water, Hif3a, , , 1
1127, UNKN, Water, Hif3a, 14.71, , 
1128, UNKN, Water, Hif3a, 15.63, , 
1129, UNKN, 3 Days C3, Hif3a, 22.96, , 
1130, UNKN, 3 Days C3, Hif3a, 22.38, , 
1131, UNKN, 3 Days C3, Hif3a, 21.93, , 
1132, UNKN, 8 Days C2, Hif3a, 21.41, , 
1133, UNKN, 8 Days C2, Hif3a, 21.79, , 
1134, UNKN, 8 Days C2, Hif3a, 22.48, , 
1135, UNKN, 6hrs B4, Hif3a, 20.68, , 
1136, UNKN, 6hrs B4, Hif3a, 20.93, , 
1137, UNKN, 6hrs B4, Hif3a, 21.12, , 
1138, UNKN, 6hrs C2, Hif3a, 20.97, , 
1139, UNKN, 6hrs C2, Hif3a, 21.61, , 
1140, UNKN, 6hrs C2, Hif3a, 21.96, , 
1141, UNKN, 24hrs D1, Hif3a, 24.28, , 
1142, UNKN, 24hrs D1, Hif3a, 23.69, , 
1143, UNKN, 24hrs D1, Hif3a, 23.85, , 
1144, UNKN, 24hrs C1, Hif3a, 22.43, , 
1145, UNKN, 24hrs C1, Hif3a, 23.07, , 
1146, UNKN, 24hrs C1, Hif3a, 22.82, , 
1147, UNKN, 3 Days B4, Hif3a, 23.34, , 
1148, UNKN, 3 Days B4, Hif3a, 23.41, , 
1149, UNKN, 3 Days B4, Hif3a, 23.56, , 
1150, UNKN, 3 Days D2, Hif3a, 22.78, , 
1151, UNKN, 3 Days D2, Hif3a, 23.21, , 
1152, UNKN, 3 Days D2, Hif3a, 23.34, , 
1153, UNKN, 6hrs A3, Hmox1, 24.20, , 
1154, UNKN, 6hrs A3, Hmox1, 24.26, , 
1155, UNKN, 6hrs A3, Hmox1, 24.78, , 
1156, UNKN, 24hrs A4, Hmox1, 22.62, , 
1157, UNKN, 24hrs A4, Hmox1, 22.49, , 
1158, UNKN, 24hrs A4, Hmox1, 22.29, , 
1159, UNKN, 8 Days D4, Hmox1, 22.98, , 
1160, UNKN, 8 Days D4, Hmox1, 22.92, , 
1161, UNKN, 8 Days D4, Hmox1, 23.04, , 
1162, UNKN, 8 Days B1, Hmox1, 22.86, , 
1163, UNKN, 8 Days B1, Hmox1, 22.66, , 
1164, UNKN, 8 Days B1, Hmox1, 22.95, , 
1165, UNKN, 3 Days A1, Hmox1, 22.63, , 
1166, UNKN, 3 Days A1, Hmox1, 22.52, , 
1167, UNKN, 3 Days A1, Hmox1, 22.62, , 
1168, UNKN, 24hrs B2, Hmox1, 21.43, , 
1169, UNKN, 24hrs B2, Hmox1, 21.27, , 
1170, UNKN, 24hrs B2, Hmox1, 21.07, , 
1171, UNKN, 6hrs D2, Hmox1, 20.50, , 
1172, UNKN, 6hrs D2, Hmox1, 20.56, , 
1173, UNKN, 6hrs D2, Hmox1, 20.20, , 
1174, UNKN, Water, Hmox1, , , 1
1175, UNKN, Water, Hmox1, 38.44, , 
1176, UNKN, Water, Hmox1, 31.64, , 
1177, UNKN, 3 Days C3, Hmox1, 22.72, , 
1178, UNKN, 3 Days C3, Hmox1, 23.10, , 
1179, UNKN, 3 Days C3, Hmox1, 23.31, , 
1180, UNKN, 8 Days C2, Hmox1, 21.71, , 
1181, UNKN, 8 Days C2, Hmox1, 21.74, , 
1182, UNKN, 8 Days C2, Hmox1, 21.88, , 
1183, UNKN, 6hrs B4, Hmox1, 23.02, , 
1184, UNKN, 6hrs B4, Hmox1, 23.56, , 
1185, UNKN, 6hrs B4, Hmox1, 22.95, , 
1186, UNKN, 6hrs C2, Hmox1, 22.02, , 
1187, UNKN, 6hrs C2, Hmox1, 22.17, , 
1188, UNKN, 6hrs C2, Hmox1, 22.42, , 
1189, UNKN, 24hrs D1, Hmox1, 23.75, , 
1190, UNKN, 24hrs D1, Hmox1, 23.59, , 
1191, UNKN, 24hrs D1, Hmox1, 23.79, , 
1192, UNKN, 24hrs C1, Hmox1, 23.00, , 
1193, UNKN, 24hrs C1, Hmox1, 22.92, , 
1194, UNKN, 24hrs C1, Hmox1, 23.39, , 
1195, UNKN, 3 Days B4, Hmox1, 22.12, , 
1196, UNKN, 3 Days B4, Hmox1, 22.12, , 
1197, UNKN, 3 Days B4, Hmox1, 22.35, , 
1198, UNKN, 3 Days D2, Hmox1, 22.34, , 
1199, UNKN, 3 Days D2, Hmox1, 22.29, , 
1200, UNKN, 3 Days D2, Hmox1, 22.34, , 
1201, UNKN, 6hrs A3, LCT, 26.05, , 
1202, UNKN, 6hrs A3, LCT, , , 1
1203, UNKN, 6hrs A3, LCT, , , 1
1204, UNKN, 24hrs A4, LCT, , , 1
1205, UNKN, 24hrs A4, LCT, , , 1
1206, UNKN, 24hrs A4, LCT, , , 1
1207, UNKN, 8 Days D4, LCT, 25.53, , 
1208, UNKN, 8 Days D4, LCT, 24.07, , 
1209, UNKN, 8 Days D4, LCT, 26.63, , 
1210, UNKN, 8 Days B1, LCT, 28.14, , 
1211, UNKN, 8 Days B1, LCT, 27.00, , 
1212, UNKN, 8 Days B1, LCT, 27.80, , 
1213, UNKN, 3 Days A1, LCT, , , 1
1214, UNKN, 3 Days A1, LCT, , , 1
1215, UNKN, 3 Days A1, LCT, , , 1
1216, UNKN, 24hrs B2, LCT, 27.23, , 
1217, UNKN, 24hrs B2, LCT, 27.55, , 
1218, UNKN, 24hrs B2, LCT, 27.50, , 
1219, UNKN, 6hrs D2, LCT, 27.70, , 
1220, UNKN, 6hrs D2, LCT, 28.05, , 
1221, UNKN, 6hrs D2, LCT, 25.64, , 
1222, UNKN, Water, LCT, 35.74, , 
1223, UNKN, Water, LCT, , , 1
1224, UNKN, Water, LCT, , , 1
1225, UNKN, 3 Days C3, LCT, , , 1
1226, UNKN, 3 Days C3, LCT, , , 1
1227, UNKN, 3 Days C3, LCT, , , 1
1228, UNKN, 8 Days C2, LCT, 28.03, , 
1229, UNKN, 8 Days C2, LCT, 28.13, , 
1230, UNKN, 8 Days C2, LCT, , , 1
1231, UNKN, 6hrs B4, LCT, , , 1
1232, UNKN, 6hrs B4, LCT, 25.92, , 
1233, UNKN, 6hrs B4, LCT, 27.95, , 
1234, UNKN, 6hrs C2, LCT, , , 1
1235, UNKN, 6hrs C2, LCT, , , 1
1236, UNKN, 6hrs C2, LCT, 27.62, , 
1237, UNKN, 24hrs D1, LCT, , , 1
1238, UNKN, 24hrs D1, LCT, , , 1
1239, UNKN, 24hrs D1, LCT, , , 1
1240, UNKN, 24hrs C1, LCT, 27.55, , 
1241, UNKN, 24hrs C1, LCT, 27.80, , 
1242, UNKN, 24hrs C1, LCT, 27.06, , 
1243, UNKN, 3 Days B4, LCT, , , 1
1244, UNKN, 3 Days B4, LCT, , , 1
1245, UNKN, 3 Days B4, LCT, , , 1
1246, UNKN, 3 Days D2, LCT, 27.49, , 
1247, UNKN, 3 Days D2, LCT, , , 1
1248, UNKN, 3 Days D2, LCT, 27.98, , 
1249, UNKN, 6hrs A3, Mt1, 20.33, , 
1250, UNKN, 6hrs A3, Mt1, 20.55, , 
1251, UNKN, 6hrs A3, Mt1, 20.46, , 
1252, UNKN, 24hrs A4, Mt1, 17.32, , 
1253, UNKN, 24hrs A4, Mt1, 17.40, , 
1254, UNKN, 24hrs A4, Mt1, 17.45, , 
1255, UNKN, 8 Days D4, Mt1, 17.95, , 
1256, UNKN, 8 Days D4, Mt1, 17.96, , 
1257, UNKN, 8 Days D4, Mt1, 18.05, , 
1258, UNKN, 8 Days B1, Mt1, 18.72, , 
1259, UNKN, 8 Days B1, Mt1, 18.77, , 
1260, UNKN, 8 Days B1, Mt1, 18.73, , 
1261, UNKN, 3 Days A1, Mt1, 17.33, , 
1262, UNKN, 3 Days A1, Mt1, 17.47, , 
1263, UNKN, 3 Days A1, Mt1, 17.47, , 
1264, UNKN, 24hrs B2, Mt1, 16.95, , 
1265, UNKN, 24hrs B2, Mt1, 17.02, , 
1266, UNKN, 24hrs B2, Mt1, 17.03, , 
1267, UNKN, 6hrs D2, Mt1, 15.43, , 
1268, UNKN, 6hrs D2, Mt1, 15.43, , 
1269, UNKN, 6hrs D2, Mt1, 15.47, , 
1270, UNKN, Water, Mt1, , , 1
1271, UNKN, Water, Mt1, , , 1
1272, UNKN, Water, Mt1, , , 1
1273, UNKN, 3 Days C3, Mt1, 17.89, , 
1274, UNKN, 3 Days C3, Mt1, 17.90, , 
1275, UNKN, 3 Days C3, Mt1, 17.93, , 
1276, UNKN, 8 Days C2, Mt1, 16.99, , 
1277, UNKN, 8 Days C2, Mt1, 16.95, , 
1278, UNKN, 8 Days C2, Mt1, 16.82, , 
1279, UNKN, 6hrs B4, Mt1, 17.99, , 
1280, UNKN, 6hrs B4, Mt1, 17.92, , 
1281, UNKN, 6hrs B4, Mt1, 18.14, , 
1282, UNKN, 6hrs C2, Mt1, 17.27, , 
1283, UNKN, 6hrs C2, Mt1, 17.34, , 
1284, UNKN, 6hrs C2, Mt1, 17.25, , 
1285, UNKN, 24hrs D1, Mt1, 18.69, , 
1286, UNKN, 24hrs D1, Mt1, 18.71, , 
1287, UNKN, 24hrs D1, Mt1, 18.79, , 
1288, UNKN, 24hrs C1, Mt1, 17.87, , 
1289, UNKN, 24hrs C1, Mt1, 17.90, , 
1290, UNKN, 24hrs C1, Mt1, 18.03, , 
1291, UNKN, 3 Days B4, Mt1, 17.56, , 
1292, UNKN, 3 Days B4, Mt1, 17.80, , 
1293, UNKN, 3 Days B4, Mt1, 17.91, , 
1294, UNKN, 3 Days D2, Mt1, 17.40, , 
1295, UNKN, 3 Days D2, Mt1, 17.57, , 
1296, UNKN, 3 Days D2, Mt1, 17.75, , 
1297, UNKN, 6hrs A3, Mt2, 14.75, , 
1298, UNKN, 6hrs A3, Mt2, 14.87, , 
1299, UNKN, 6hrs A3, Mt2, 14.80, , 
1300, UNKN, 24hrs A4, Mt2, 12.67, , 
1301, UNKN, 24hrs A4, Mt2, 12.69, , 
1302, UNKN, 24hrs A4, Mt2, 12.71, , 
1303, UNKN, 8 Days D4, Mt2, 13.37, , 
1304, UNKN, 8 Days D4, Mt2, 13.41, , 
1305, UNKN, 8 Days D4, Mt2, 13.48, , 
1306, UNKN, 8 Days B1, Mt2, 13.43, , 
1307, UNKN, 8 Days B1, Mt2, 13.51, , 
1308, UNKN, 8 Days B1, Mt2, 13.55, , 
1309, UNKN, 3 Days A1, Mt2, 12.74, , 
1310, UNKN, 3 Days A1, Mt2, 12.82, , 
1311, UNKN, 3 Days A1, Mt2, 12.76, , 
1312, UNKN, 24hrs B2, Mt2, 11.75, , 
1313, UNKN, 24hrs B2, Mt2, 11.84, , 
1314, UNKN, 24hrs B2, Mt2, 11.87, , 
1315, UNKN, 6hrs D2, Mt2, 10.17, , 
1316, UNKN, 6hrs D2, Mt2, 10.20, , 
1317, UNKN, 6hrs D2, Mt2, 10.21, , 
1318, UNKN, Water, Mt2, 38.09, , 
1319, UNKN, Water, Mt2, , , 1
1320, UNKN, Water, Mt2, , , 1
1321, UNKN, 3 Days C3, Mt2, 13.32, , 
1322, UNKN, 3 Days C3, Mt2, 13.22, , 
1323, UNKN, 3 Days C3, Mt2, 13.25, , 
1324, UNKN, 8 Days C2, Mt2, 12.54, , 
1325, UNKN, 8 Days C2, Mt2, 12.48, , 
1326, UNKN, 8 Days C2, Mt2, 12.52, , 
1327, UNKN, 6hrs B4, Mt2, 12.81, , 
1328, UNKN, 6hrs B4, Mt2, 12.77, , 
1329, UNKN, 6hrs B4, Mt2, 12.84, , 
1330, UNKN, 6hrs C2, Mt2, 12.20, , 
1331, UNKN, 6hrs C2, Mt2, 12.31, , 
1332, UNKN, 6hrs C2, Mt2, 12.26, , 
1333, UNKN, 24hrs D1, Mt2, 13.97, , 
1334, UNKN, 24hrs D1, Mt2, 14.07, , 
1335, UNKN, 24hrs D1, Mt2, 14.03, , 
1336, UNKN, 24hrs C1, Mt2, 12.71, , 
1337, UNKN, 24hrs C1, Mt2, 12.81, , 
1338, UNKN, 24hrs C1, Mt2, 12.75, , 
1339, UNKN, 3 Days B4, Mt2, 12.46, , 
1340, UNKN, 3 Days B4, Mt2, 12.56, , 
1341, UNKN, 3 Days B4, Mt2, 12.52, , 
1342, UNKN, 3 Days D2, Mt2, 12.64, , 
1343, UNKN, 3 Days D2, Mt2, 12.66, , 
1344, UNKN, 3 Days D2, Mt2, 12.86, , 
1345, UNKN, 6hrs A3, Mt3, 13.84, , 
1346, UNKN, 6hrs A3, Mt3, 14.04, , 
1347, UNKN, 6hrs A3, Mt3, 14.11, , 
1348, UNKN, 24hrs A4, Mt3, 12.38, , 
1349, UNKN, 24hrs A4, Mt3, 12.64, , 
1350, UNKN, 24hrs A4, Mt3, 12.71, , 
1351, UNKN, 8 Days D4, Mt3, 12.72, , 
1352, UNKN, 8 Days D4, Mt3, 12.64, , 
1353, UNKN, 8 Days D4, Mt3, 12.89, , 
1354, UNKN, 8 Days B1, Mt3, 12.15, , 
1355, UNKN, 8 Days B1, Mt3, 12.46, , 
1356, UNKN, 8 Days B1, Mt3, 12.54, , 
1357, UNKN, 3 Days A1, Mt3, 12.01, , 
1358, UNKN, 3 Days A1, Mt3, 12.20, , 
1359, UNKN, 3 Days A1, Mt3, 12.07, , 
1360, UNKN, 24hrs B2, Mt3, 11.52, , 
1361, UNKN, 24hrs B2, Mt3, 11.62, , 
1362, UNKN, 24hrs B2, Mt3, 11.78, , 
1363, UNKN, 6hrs D2, Mt3, 11.52, , 
1364, UNKN, 6hrs D2, Mt3, 11.50, , 
1365, UNKN, 6hrs D2, Mt3, 11.46, , 
1366, UNKN, Water, Mt3, , , 1
1367, UNKN, Water, Mt3, 16.35, , 
1368, UNKN, Water, Mt3, 16.76, , 
1369, UNKN, 3 Days C3, Mt3, 12.10, , 
1370, UNKN, 3 Days C3, Mt3, 12.02, , 
1371, UNKN, 3 Days C3, Mt3, 11.88, , 
1372, UNKN, 8 Days C2, Mt3, 11.55, , 
1373, UNKN, 8 Days C2, Mt3, 11.60, , 
1374, UNKN, 8 Days C2, Mt3, 11.78, , 
1375, UNKN, 6hrs B4, Mt3, 12.15, , 
1376, UNKN, 6hrs B4, Mt3, 12.25, , 
1377, UNKN, 6hrs B4, Mt3, 12.30, , 
1378, UNKN, 6hrs C2, Mt3, 11.84, , 
1379, UNKN, 6hrs C2, Mt3, 11.93, , 
1380, UNKN, 6hrs C2, Mt3, 11.99, , 
1381, UNKN, 24hrs D1, Mt3, 13.14, , 
1382, UNKN, 24hrs D1, Mt3, 13.40, , 
1383, UNKN, 24hrs D1, Mt3, 13.26, , 
1384, UNKN, 24hrs C1, Mt3, 12.12, , 
1385, UNKN, 24hrs C1, Mt3, 12.43, , 
1386, UNKN, 24hrs C1, Mt3, 12.32, , 
1387, UNKN, 3 Days B4, Mt3, 12.36, , 
1388, UNKN, 3 Days B4, Mt3, 12.38, , 
1389, UNKN, 3 Days B4, Mt3, 12.61, , 
1390, UNKN, 3 Days D2, Mt3, 12.71, , 
1391, UNKN, 3 Days D2, Mt3, 12.65, , 
1392, UNKN, 3 Days D2, Mt3, 12.83, , 
1393, UNKN, 6hrs A3, Nfe212, 26.88, , 
1394, UNKN, 6hrs A3, Nfe212, 27.01, , 
1395, UNKN, 6hrs A3, Nfe212, 26.46, , 
1396, UNKN, 24hrs A4, Nfe212, 24.60, , 
1397, UNKN, 24hrs A4, Nfe212, 24.31, , 
1398, UNKN, 24hrs A4, Nfe212, 24.59, , 
1399, UNKN, 8 Days D4, Nfe212, 24.56, , 
1400, UNKN, 8 Days D4, Nfe212, 24.63, , 
1401, UNKN, 8 Days D4, Nfe212, 25.14, , 
1402, UNKN, 8 Days B1, Nfe212, 24.48, , 
1403, UNKN, 8 Days B1, Nfe212, 24.20, , 
1404, UNKN, 8 Days B1, Nfe212, 24.50, , 
1405, UNKN, 3 Days A1, Nfe212, 24.75, , 
1406, UNKN, 3 Days A1, Nfe212, 25.22, , 
1407, UNKN, 3 Days A1, Nfe212, 24.88, , 
1408, UNKN, 24hrs B2, Nfe212, 22.66, , 
1409, UNKN, 24hrs B2, Nfe212, 22.98, , 
1410, UNKN, 24hrs B2, Nfe212, 23.10, , 
1411, UNKN, 6hrs D2, Nfe212, 23.09, , 
1412, UNKN, 6hrs D2, Nfe212, 23.22, , 
1413, UNKN, 6hrs D2, Nfe212, 23.08, , 
1414, UNKN, Water, Nfe212, , , 1
1415, UNKN, Water, Nfe212, 22.38, , 
1416, UNKN, Water, Nfe212, 21.16, , 
1417, UNKN, 3 Days C3, Nfe212, 25.45, , 
1418, UNKN, 3 Days C3, Nfe212, 25.14, , 
1419, UNKN, 3 Days C3, Nfe212, 25.15, , 
1420, UNKN, 8 Days C2, Nfe212, 23.74, , 
1421, UNKN, 8 Days C2, Nfe212, 23.99, , 
1422, UNKN, 8 Days C2, Nfe212, 23.90, , 
1423, UNKN, 6hrs B4, Nfe212, 25.04, , 
1424, UNKN, 6hrs B4, Nfe212, 24.74, , 
1425, UNKN, 6hrs B4, Nfe212, 24.81, , 
1426, UNKN, 6hrs C2, Nfe212, 23.06, , 
1427, UNKN, 6hrs C2, Nfe212, 23.40, , 
1428, UNKN, 6hrs C2, Nfe212, 23.11, , 
1429, UNKN, 24hrs D1, Nfe212, 26.79, , 
1430, UNKN, 24hrs D1, Nfe212, 26.58, , 
1431, UNKN, 24hrs D1, Nfe212, 26.64, , 
1432, UNKN, 24hrs C1, Nfe212, 24.35, , 
1433, UNKN, 24hrs C1, Nfe212, 24.70, , 
1434, UNKN, 24hrs C1, Nfe212, 24.58, , 
1435, UNKN, 3 Days B4, Nfe212, 24.44, , 
1436, UNKN, 3 Days B4, Nfe212, 24.59, , 
1437, UNKN, 3 Days B4, Nfe212, 24.82, , 
1438, UNKN, 3 Days D2, Nfe212, 25.09, , 
1439, UNKN, 3 Days D2, Nfe212, 24.48, , 
1440, UNKN, 3 Days D2, Nfe212, 24.84, , 
1441, UNKN, 6hrs A3, Ngb, 22.39, , 
1442, UNKN, 6hrs A3, Ngb, 22.49, , 
1443, UNKN, 6hrs A3, Ngb, 22.28, , 
1444, UNKN, 24hrs A4, Ngb, 22.66, , 
1445, UNKN, 24hrs A4, Ngb, 22.67, , 
1446, UNKN, 24hrs A4, Ngb, 22.55, , 
1447, UNKN, 8 Days D4, Ngb, 22.74, , 
1448, UNKN, 8 Days D4, Ngb, 22.52, , 
1449, UNKN, 8 Days D4, Ngb, 22.75, , 
1450, UNKN, 8 Days B1, Ngb, 22.75, , 
1451, UNKN, 8 Days B1, Ngb, 22.36, , 
1452, UNKN, 8 Days B1, Ngb, 23.29, , 
1453, UNKN, 3 Days A1, Ngb, 22.02, , 
1454, UNKN, 3 Days A1, Ngb, 22.14, , 
1455, UNKN, 3 Days A1, Ngb, 22.32, , 
1456, UNKN, 24hrs B2, Ngb, 18.41, , 
1457, UNKN, 24hrs B2, Ngb, 18.65, , 
1458, UNKN, 24hrs B2, Ngb, 19.07, , 
1459, UNKN, 6hrs D2, Ngb, 21.71, , 
1460, UNKN, 6hrs D2, Ngb, 21.20, , 
1461, UNKN, 6hrs D2, Ngb, 21.39, , 
1462, UNKN, Water, Ngb, , , 1
1463, UNKN, Water, Ngb, 22.54, , 
1464, UNKN, Water, Ngb, 19.61, , 
1465, UNKN, 3 Days C3, Ngb, 23.99, , 
1466, UNKN, 3 Days C3, Ngb, 22.79, , 
1467, UNKN, 3 Days C3, Ngb, 23.35, , 
1468, UNKN, 8 Days C2, Ngb, 20.55, , 
1469, UNKN, 8 Days C2, Ngb, 21.07, , 
1470, UNKN, 8 Days C2, Ngb, 21.05, , 
1471, UNKN, 6hrs B4, Ngb, 21.27, , 
1472, UNKN, 6hrs B4, Ngb, 21.27, , 
1473, UNKN, 6hrs B4, Ngb, 21.52, , 
1474, UNKN, 6hrs C2, Ngb, 20.18, , 
1475, UNKN, 6hrs C2, Ngb, 20.32, , 
1476, UNKN, 6hrs C2, Ngb, 20.16, , 
1477, UNKN, 24hrs D1, Ngb, 21.80, , 
1478, UNKN, 24hrs D1, Ngb, 22.05, , 
1479, UNKN, 24hrs D1, Ngb, 21.66, , 
1480, UNKN, 24hrs C1, Ngb, 22.98, , 
1481, UNKN, 24hrs C1, Ngb, 24.00, , 
1482, UNKN, 24hrs C1, Ngb, 22.91, , 
1483, UNKN, 3 Days B4, Ngb, 20.40, , 
1484, UNKN, 3 Days B4, Ngb, 20.59, , 
1485, UNKN, 3 Days B4, Ngb, 20.72, , 
1486, UNKN, 3 Days D2, Ngb, 21.04, , 
1487, UNKN, 3 Days D2, Ngb, 21.27, , 
1488, UNKN, 3 Days D2, Ngb, 21.19, , 
1489, UNKN, 6hrs A3, Nos2, 25.65, , 
1490, UNKN, 6hrs A3, Nos2, 25.88, , 
1491, UNKN, 6hrs A3, Nos2, 26.06, , 
1492, UNKN, 24hrs A4, Nos2, 23.61, , 
1493, UNKN, 24hrs A4, Nos2, 23.66, , 
1494, UNKN, 24hrs A4, Nos2, 24.06, , 
1495, UNKN, 8 Days D4, Nos2, 27.87, , 
1496, UNKN, 8 Days D4, Nos2, 24.69, , 
1497, UNKN, 8 Days D4, Nos2, 26.89, , 
1498, UNKN, 8 Days B1, Nos2, 24.18, , 
1499, UNKN, 8 Days B1, Nos2, 24.50, , 
1500, UNKN, 8 Days B1, Nos2, 24.17, , 
1501, UNKN, 3 Days A1, Nos2, 24.92, , 
1502, UNKN, 3 Days A1, Nos2, 24.84, , 
1503, UNKN, 3 Days A1, Nos2, 24.33, , 
1504, UNKN, 24hrs B2, Nos2, 23.50, , 
1505, UNKN, 24hrs B2, Nos2, 23.18, , 
1506, UNKN, 24hrs B2, Nos2, 22.50, , 
1507, UNKN, 6hrs D2, Nos2, 24.47, , 
1508, UNKN, 6hrs D2, Nos2, 25.63, , 
1509, UNKN, 6hrs D2, Nos2, 23.59, , 
1510, UNKN, Water, Nos2, , , 1
1511, UNKN, Water, Nos2, , , 1
1512, UNKN, Water, Nos2, , , 1
1513, UNKN, 3 Days C3, Nos2, 25.94, , 
1514, UNKN, 3 Days C3, Nos2, 26.40, , 
1515, UNKN, 3 Days C3, Nos2, 25.77, , 
1516, UNKN, 8 Days C2, Nos2, 23.55, , 
1517, UNKN, 8 Days C2, Nos2, 22.96, , 
1518, UNKN, 8 Days C2, Nos2, 22.70, , 
1519, UNKN, 6hrs B4, Nos2, 24.92, , 
1520, UNKN, 6hrs B4, Nos2, 24.63, , 
1521, UNKN, 6hrs B4, Nos2, 25.08, , 
1522, UNKN, 6hrs C2, Nos2, 24.20, , 
1523, UNKN, 6hrs C2, Nos2, 23.75, , 
1524, UNKN, 6hrs C2, Nos2, 24.83, , 
1525, UNKN, 24hrs D1, Nos2, 24.86, , 
1526, UNKN, 24hrs D1, Nos2, 26.68, , 
1527, UNKN, 24hrs D1, Nos2, 25.46, , 
1528, UNKN, 24hrs C1, Nos2, 23.29, , 
1529, UNKN, 24hrs C1, Nos2, 24.55, , 
1530, UNKN, 24hrs C1, Nos2, 23.55, , 
1531, UNKN, 3 Days B4, Nos2, 24.54, , 
1532, UNKN, 3 Days B4, Nos2, 23.49, , 
1533, UNKN, 3 Days B4, Nos2, 24.43, , 
1534, UNKN, 3 Days D2, Nos2, 25.09, , 
1535, UNKN, 3 Days D2, Nos2, 24.64, , 
1536, UNKN, 3 Days D2, Nos2, 25.65, , 
1537, UNKN, 6hrs A3, Ogdh, 17.23, , 
1538, UNKN, 6hrs A3, Ogdh, 17.01, , 
1539, UNKN, 6hrs A3, Ogdh, 17.27, , 
1540, UNKN, 24hrs A4, Ogdh, 15.79, , 
1541, UNKN, 24hrs A4, Ogdh, 15.81, , 
1542, UNKN, 24hrs A4, Ogdh, 15.98, , 
1543, UNKN, 8 Days D4, Ogdh, 16.22, , 
1544, UNKN, 8 Days D4, Ogdh, 16.28, , 
1545, UNKN, 8 Days D4, Ogdh, 16.23, , 
1546, UNKN, 8 Days B1, Ogdh, 16.01, , 
1547, UNKN, 8 Days B1, Ogdh, 16.01, , 
1548, UNKN, 8 Days B1, Ogdh, 16.08, , 
1549, UNKN, 3 Days A1, Ogdh, 15.81, , 
1550, UNKN, 3 Days A1, Ogdh, 15.82, , 
1551, UNKN, 3 Days A1, Ogdh, 15.82, , 
1552, UNKN, 24hrs B2, Ogdh, 14.41, , 
1553, UNKN, 24hrs B2, Ogdh, 14.50, , 
1554, UNKN, 24hrs B2, Ogdh, 14.54, , 
1555, UNKN, 6hrs D2, Ogdh, 13.99, , 
1556, UNKN, 6hrs D2, Ogdh, 14.10, , 
1557, UNKN, 6hrs D2, Ogdh, 14.13, , 
1558, UNKN, Water, Ogdh, , , 1
1559, UNKN, Water, Ogdh, , , 1
1560, UNKN, Water, Ogdh, 35.55, , 
1561, UNKN, 3 Days C3, Ogdh, 16.06, , 
1562, UNKN, 3 Days C3, Ogdh, 16.09, , 
1563, UNKN, 3 Days C3, Ogdh, 15.91, , 
1564, UNKN, 8 Days C2, Ogdh, 14.91, , 
1565, UNKN, 8 Days C2, Ogdh, 15.02, , 
1566, UNKN, 8 Days C2, Ogdh, 14.95, , 
1567, UNKN, 6hrs B4, Ogdh, 15.93, , 
1568, UNKN, 6hrs B4, Ogdh, 15.90, , 
1569, UNKN, 6hrs B4, Ogdh, 15.94, , 
1570, UNKN, 6hrs C2, Ogdh, 14.86, , 
1571, UNKN, 6hrs C2, Ogdh, 14.87, , 
1572, UNKN, 6hrs C2, Ogdh, 14.90, , 
1573, UNKN, 24hrs D1, Ogdh, 17.07, , 
1574, UNKN, 24hrs D1, Ogdh, 17.25, , 
1575, UNKN, 24hrs D1, Ogdh, 16.98, , 
1576, UNKN, 24hrs C1, Ogdh, 15.44, , 
1577, UNKN, 24hrs C1, Ogdh, 15.50, , 
1578, UNKN, 24hrs C1, Ogdh, 15.48, , 
1579, UNKN, 3 Days B4, Ogdh, 14.73, , 
1580, UNKN, 3 Days B4, Ogdh, 14.80, , 
1581, UNKN, 3 Days B4, Ogdh, 14.85, , 
1582, UNKN, 3 Days D2, Ogdh, 16.03, , 
1583, UNKN, 3 Days D2, Ogdh, 16.13, , 
1584, UNKN, 3 Days D2, Ogdh, 16.18, , 
1585, UNKN, 6hrs A3, PDHx, 18.89, , 
1586, UNKN, 6hrs A3, PDHx, 19.08, , 
1587, UNKN, 6hrs A3, PDHx, 18.84, , 
1588, UNKN, 24hrs A4, PDHx, 17.74, , 
1589, UNKN, 24hrs A4, PDHx, 17.69, , 
1590, UNKN, 24hrs A4, PDHx, 17.63, , 
1591, UNKN, 8 Days D4, PDHx, 17.82, , 
1592, UNKN, 8 Days D4, PDHx, 17.91, , 
1593, UNKN, 8 Days D4, PDHx, 17.90, , 
1594, UNKN, 8 Days B1, PDHx, 17.75, , 
1595, UNKN, 8 Days B1, PDHx, 17.71, , 
1596, UNKN, 8 Days B1, PDHx, 17.80, , 
1597, UNKN, 3 Days A1, PDHx, 17.41, , 
1598, UNKN, 3 Days A1, PDHx, 17.51, , 
1599, UNKN, 3 Days A1, PDHx, 17.42, , 
1600, UNKN, 24hrs B2, PDHx, 16.52, , 
1601, UNKN, 24hrs B2, PDHx, 16.53, , 
1602, UNKN, 24hrs B2, PDHx, 16.69, , 
